0.058050	0.058050	0.058
0.313469	0.313469	0.313
0.476009	0.476009	0.476
0.603719	0.603719	0.604
0.952018	0.952018	0.952
1.114558	1.114558	1.115
1.637007	1.637007	1.637
1.996916	1.996916	1.997
2.124626	2.124626	2.125
2.519365	2.519365	2.519
2.635465	2.635465	2.635
3.146304	3.146304	3.146
3.541043	3.541043	3.541
3.645533	3.645533	3.646
4.017052	4.017052	4.017
4.144762	4.144762	4.145
4.411791	4.411791	4.412
4.527891	4.527891	4.528
4.667211	4.667211	4.667
4.911020	4.911020	4.911
5.038730	5.038730	5.039
5.166440	5.166440	5.166
5.421859	5.421859	5.422
5.549569	5.549569	5.550
5.688889	5.688889	5.689
5.932698	5.932698	5.933
6.095238	6.095238	6.095
6.188118	6.188118	6.188
6.443537	6.443537	6.444
6.559637	6.559637	6.560
6.698957	6.698957	6.699
6.942766	6.942766	6.943
7.070476	7.070476	7.070
7.198186	7.198186	7.198
7.453605	7.453605	7.454
7.581315	7.581315	7.581
7.720635	7.720635	7.721
7.964444	7.964444	7.964
8.115374	8.115374	8.115
8.219864	8.219864	8.220
8.475283	8.475283	8.475
8.591383	8.591383	8.591
8.730703	8.730703	8.731
8.974512	8.974512	8.975
9.102222	9.102222	9.102
9.229932	9.229932	9.230
9.485351	9.485351	9.485
9.601451	9.601451	9.601
9.752381	9.752381	9.752
9.996190	9.996190	9.996
10.158730	10.158730	10.159
10.251610	10.251610	10.252
10.507029	10.507029	10.507
10.634739	10.634739	10.635
10.762449	10.762449	10.762
11.006259	11.006259	11.006
11.133968	11.133968	11.134
11.261678	11.261678	11.262
11.517098	11.517098	11.517
11.644807	11.644807	11.645
11.784127	11.784127	11.784
12.027937	12.027937	12.028
12.178866	12.178866	12.179
